Отметка времени,Расход,Доход,Комментарии,Ресурсы,Группы,Адрес электронной почты,,,
13.12.2016 2:49:21,426,,,ВТБ,Обед,,,,
13.12.2016 2:49:36,64,,Пуговички,Сбербанк Маша,Одежда,,,,
13.12.2016 10:44:58,2300,,,ВТБ,Одежда,,,,
13.12.2016 10:47:15,250,,,НАЛ,Обед,,,,
13.12.2016 10:48:44,400,,,НАЛ,CORR,,,,
13.12.2016 21:14:37,650,,,ВТБ,Транспорт,,,,
13.12.2016 21:14:48,500,,,ВТБ,МинусКарта,,,,
13.12.2016 21:15:03,,500,,НАЛ,ПлюсНалик,,,,
14.12.2016 2:29:13,250,,,НАЛ,Обед,,,,
14.12.2016 6:56:23,,105000,,Сбербанк зарплата,Сбербанк зарплата,,,,
14.12.2016 6:56:44,10000,,,Сбербанк зарплата,МинусКарта,,,,
14.12.2016 7:01:05,382,,,НАЛ,Обед,,,,
14.12.2016 7:03:09,,10000,,Сбербанк Маша,ПлюсНалик,,,,
14.12.2016 7:06:00,1000,,,Сбербанк Маша,На отпуск,,,,
14.12.2016 7:06:01,9600,,,Сбербанк зарплата,Непредвиденные расходы,,,,
14.12.2016 9:11:49,505,,,ВТБ,Продукты,,,,
14.12.2016 9:12:23,5000,,,Сбербанк Маша,МинусКарта,,,,
14.12.2016 9:12:51,,5000,,НАЛ,ПлюсНалик,,,,
14.12.2016 9:13:18,766,,,НАЛ,Продукты,,,,
14.12.2016 9:13:36,1000,,,НАЛ,Дашины занятия,,,,
15.12.2016 0:30:42,120,,Даша,Сбербанк Маша,Обед,,,,
15.12.2016 0:33:18,,9600,,Сбербанк кредит,Сбербанк кредит,,,,
15.12.2016 0:40:44,69000,,,Сбербанк зарплата,Ипотека,,,,
15.12.2016 8:57:34,250,,,НАЛ,Обед,,,,
15.12.2016 8:57:50,279,,,НАЛ,Продукты,,,,
15.12.2016 11:35:33,2400,,,НАЛ,Парикмахерская,,,,
15.12.2016 11:36:00,132,,,НАЛ,Продукты,,,,
15.12.2016 11:36:27,600,,,НАЛ,Дашины занятия,,,,
15.12.2016 11:41:07,1000,,,Сбербанк зарплата,Сбербанк зарплата,,,,
15.12.2016 11:41:40,,1000,,НАЛ,ПлюсНалик,,,,
15.12.2016 11:46:21,500,,Потеряно,НАЛ,CORR,,,,
15.12.2016 11:47:13,100,,Потеряно,Сбербанк зарплата,CORR,,,,
15.12.2016 20:11:43,3000,,Выключаетель+ЦАП,Сбербанк зарплата,"Бытовая техника, мебель",,,,
15.12.2016 20:18:53,1000,,тест,Сбербанк зарплата,ПлюсОтпуск,,,,
15.12.2016 20:19:06,,1000,тест,"Отпуск, накопления",ПлюсОтпуск,,,,
15.12.2016 20:42:11,1000,,тест,"Отпуск, накопления",МинусОтпуск,,,,
15.12.2016 20:44:59,,1000,тест,Сбербанк зарплата,МинусОтпуск,,,,
15.12.2016 23:47:46,113,,Завтрак Маша,НАЛ,Обед,,,,
15.12.2016 23:58:25,,3000,,"Отпуск, накопления",ПлюсОтпуск,,,,
16.12.2016 5:14:52,3500,,,Сбербанк Маша,МинусКарта,,,,
16.12.2016 5:15:03,,3500,,НАЛ,ПлюсНалик,,,,
16.12.2016 5:15:18,280,,Колготки,НАЛ,Одежда,,,,
16.12.2016 22:25:47,561,,,НАЛ,Продукты,,,,
16.12.2016 22:26:05,3000,,,Сбербанк зарплата,МинусКарта,,,,
16.12.2016 22:26:23,,3000,,НАЛ,ПлюсНалик,,,,
17.12.2016 0:27:29,1900,,Такси,НАЛ,Транспорт,,,,
17.12.2016 3:20:10,4255,,,Росбанк кредит,Одежда,,,,
17.12.2016 3:21:51,3541,,,Сбербанк зарплата,Продукты,,,,
17.12.2016 3:22:17,980,,,НАЛ,Подарки,,,,
